"注文コード","仕入日付","仕入SEQ","仕入日時","仕入先コード","仕入先会社","仕入商品コード","仕入商品名称","商品コード","商品名称","納入数"
"20240527-001","2024/05/30",2,"2024/05/30 21:59:32","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20240527-001","2024/05/30",2,"2024/05/30 21:59:32","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",1.00
"20240528-001","2024/05/30",2,"2024/05/30 22:20:49","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20240528-001","2024/05/30",2,"2024/05/30 22:20:49","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/05/31",2,"2024/05/31 19:05:46","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/05/31",2,"2024/05/31 19:05:46","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",2.00
"20240528-001","2024/06/04",2,"2024/06/04 20:49:07","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20240528-001","2024/06/04",2,"2024/06/04 20:49:07","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",1.00
"20240528-001","2024/06/17",2,"2024/06/18 1:31:41","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20240528-001","2024/06/17",2,"2024/06/18 1:31:41","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/06/19",2,"2024/06/19 22:33:21","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/06/19",2,"2024/06/19 22:33:21","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",2.00
"20240528-001","2024/06/20",2,"2024/06/20 22:25:38","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",2.00
"20240528-001","2024/06/20",2,"2024/06/20 22:25:38","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",11.00
"20240604-001","2024/06/20",2,"2024/06/20 22:32:04","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",4.00
"20240604-001","2024/06/20",2,"2024/06/20 22:32:04","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",1.00
"20240528-001","2024/06/21",2,"2024/06/21 18:00:58","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20240528-001","2024/06/21",2,"2024/06/21 18:00:58","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",2.00
"20240527-001","2024/06/21",2,"2024/06/21 23:31:27","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240527-001","2024/06/21",2,"2024/06/21 23:31:27","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",3.00
"20240528-001","2024/06/25",2,"2024/06/25 18:07:34","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/06/25",2,"2024/06/25 18:07:34","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",3.00
"20240528-001","2024/09/12",2,"2024/09/12 19:02:32","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",3.00
"20240528-001","2024/09/12",2,"2024/09/12 19:02:32","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",3.00
"20240528-001","2024/09/24",2,"2024/09/25 1:07:49","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",0.00
"20240528-001","2024/09/24",2,"2024/09/25 1:07:49","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",2.00
"20240528-001","2024/10/11",2,"2024/10/11 8:39:36","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",2.00
"20240528-001","2024/10/11",2,"2024/10/11 8:39:36","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",2.00
"20241018-001","2024/10/18",2,"2024/10/18 10:52:09","A000000001","仕入先Ａ社",0000000001,"ガム",0000000001,"ガム",1.00
"20241018-001","2024/10/18",2,"2024/10/18 10:52:09","A000000001","仕入先Ａ社",0000000002,"チョコレート",0000000002,"チョコレート",1.00
